Potential (V),Current (A),Column 3 (V/s)
0.097747803,-1.32E-07,0.4
0.095550537,-2.29E-07,
0.093048096,-3.15E-07,
0.090484619,-3.52E-07,
0.088012695,-3.94E-07,
0.085723877,-4.17E-07,
0.083374023,-4.46E-07,
0.080657959,-4.64E-07,
0.078399658,-4.75E-07,
0.075958252,-4.90E-07,
0.073547363,-5.06E-07,
0.070861816,-5.25E-07,
0.068725586,-5.46E-07,
0.066162109,-5.41E-07,
0.063476563,-5.65E-07,
0.061157227,-5.85E-07,
0.058959961,-5.89E-07,
0.056365967,-6.11E-07,
0.053955078,-6.14E-07,
0.051483154,-6.15E-07,
0.048937988,-6.06E-07,
0.046414185,-6.39E-07,
0.044070435,-6.68E-07,
0.041751099,-6.72E-07,
0.039273071,-6.69E-07,
0.036749268,-6.94E-07,
0.034451294,-7.08E-07,
0.031808472,-7.11E-07,
0.029446411,-7.38E-07,
0.027105713,-6.92E-07,
0.024688721,-7.38E-07,
0.022232056,-7.63E-07,
0.019848633,-7.88E-07,
0.01729126,-7.79E-07,
0.014889526,-8.22E-07,
0.012411499,-8.15E-07,
0.0099823,-8.36E-07,
0.007543945,-8.43E-07,
0.005169678,-8.55E-07,
0.002938843,-8.55E-07,
0.00022583,-8.65E-07,
-0.002096558,-8.61E-07,
-0.004403687,-9.14E-07,
-0.006967163,-9.35E-07,
-0.009378052,-9.39E-07,
-0.011877441,-9.44E-07,
-0.014382935,-9.56E-07,
-0.016690063,-9.83E-07,
-0.019223022,-1.01E-06,
-0.021539307,-1.01E-06,
-0.024075317,-1.04E-06,
-0.026507568,-1.05E-06,
-0.028964233,-1.08E-06,
-0.031402588,-1.09E-06,
-0.033770752,-1.12E-06,
-0.036343384,-1.15E-06,
-0.038534546,-1.17E-06,
-0.041015625,-1.18E-06,
-0.043457031,-1.21E-06,
-0.045788574,-1.21E-06,
-0.048358154,-1.28E-06,
-0.051086426,-1.36E-06,
-0.053222656,-1.38E-06,
-0.055969238,-1.39E-06,
-0.058227539,-1.45E-06,
-0.06060791,-1.49E-06,
-0.062866211,-1.52E-06,
-0.06539917,-1.58E-06,
-0.067993164,-1.64E-06,
-0.070404053,-1.68E-06,
-0.072692871,-1.74E-06,
-0.075500488,-1.81E-06,
-0.077697754,-1.89E-06,
-0.08013916,-1.97E-06,
-0.082550049,-2.05E-06,
-0.085266113,-2.16E-06,
-0.087493896,-2.28E-06,
-0.089935303,-2.36E-06,
-0.092193604,-2.48E-06,
-0.094726563,-2.59E-06,
-0.097320557,-2.77E-06,
-0.099761963,-2.90E-06,
-0.102050781,-3.05E-06,
-0.104644775,-3.23E-06,
-0.107086182,-3.43E-06,
-0.109344482,-3.63E-06,
-0.111846924,-3.84E-06,
-0.114227295,-4.08E-06,
-0.116699219,-4.22E-06,
-0.119018555,-4.51E-06,
-0.121765137,-4.85E-06,
-0.123962402,-5.18E-06,
-0.126739502,-5.48E-06,
-0.12878418,-5.73E-06,
-0.131256104,-6.13E-06,
-0.133758545,-6.50E-06,
-0.136199951,-6.94E-06,
-0.138885498,-7.25E-06,
-0.141174316,-7.62E-06,
-0.14364624,-8.08E-06,
-0.146118164,-8.59E-06,
-0.148406982,-8.96E-06,
-0.150787354,-9.53E-06,
-0.153198242,-1.00E-05,
-0.155944824,-1.05E-05,
-0.158111572,-1.08E-05,
-0.160583496,-1.14E-05,
-0.162963867,-1.18E-05,
-0.165527344,-1.24E-05,
-0.168060303,-1.28E-05,
-0.170196533,-1.33E-05,
-0.172668457,-1.36E-05,
-0.175415039,-1.42E-05,
-0.177703857,-1.45E-05,
-0.179992676,-1.50E-05,
-0.18270874,-1.53E-05,
-0.185089111,-1.56E-05,
-0.187347412,-1.59E-05,
-0.189971924,-1.62E-05,
-0.19229126,-1.65E-05,
-0.194671631,-1.66E-05,
-0.197296143,-1.68E-05,
-0.199707031,-1.69E-05,
-0.202026367,-1.70E-05,
-0.204498291,-1.71E-05,
-0.206939697,-1.71E-05,
-0.209503174,-1.71E-05,
-0.211853027,-1.71E-05,
-0.214355469,-1.71E-05,
-0.216888428,-1.70E-05,
-0.219116211,-1.69E-05,
-0.221557617,-1.68E-05,
-0.223907471,-1.67E-05,
-0.226470947,-1.66E-05,
-0.229064941,-1.65E-05,
-0.231262207,-1.63E-05,
-0.233795166,-1.62E-05,
-0.236297607,-1.59E-05,
-0.238616943,-1.57E-05,
-0.241119385,-1.56E-05,
-0.243713379,-1.54E-05,
-0.246063232,-1.53E-05,
-0.248413086,-1.51E-05,
-0.250732422,-1.49E-05,
-0.253143311,-1.48E-05,
-0.255584717,-1.45E-05,
-0.258300781,-1.43E-05,
-0.260345459,-1.42E-05,
-0.262969971,-1.40E-05,
-0.265625,-1.39E-05,
-0.268096924,-1.37E-05,
-0.270385742,-1.35E-05,
-0.272705078,-1.34E-05,
-0.275177002,-1.33E-05,
-0.277770996,-1.31E-05,
-0.280029297,-1.30E-05,
-0.282714844,-1.28E-05,
-0.284973145,-1.27E-05,
-0.287506104,-1.27E-05,
-0.290008545,-1.24E-05,
-0.292388916,-1.24E-05,
-0.295013428,-1.22E-05,
-0.297058105,-1.21E-05,
-0.299560547,-1.20E-05,
-0.302307129,-1.19E-05,
-0.304504395,-1.18E-05,
-0.307037354,-1.17E-05,
-0.309387207,-1.16E-05,
-0.312011719,-1.16E-05,
-0.314178467,-1.14E-05,
-0.316650391,-1.14E-05,
-0.319122314,-1.12E-05,
-0.321563721,-1.11E-05,
-0.323944092,-1.11E-05,
-0.326873779,-1.10E-05,
-0.328826904,-1.10E-05,
-0.331481934,-1.09E-05,
-0.333953857,-1.08E-05,
-0.336181641,-1.07E-05,
-0.338684082,-1.06E-05,
-0.34085083,-1.05E-05,
-0.343414307,-1.05E-05,
-0.346008301,-1.04E-05,
-0.348602295,-1.03E-05,
-0.350921631,-1.02E-05,
-0.353271484,-1.02E-05,
-0.35559082,-1.02E-05,
-0.357971191,-1.00E-05,
-0.360595703,-1.00E-05,
-0.362915039,-9.97E-06,
-0.365509033,-9.90E-06,
-0.367614746,-9.80E-06,
-0.370635986,-9.83E-06,
-0.372894287,-9.74E-06,
-0.375183105,-9.66E-06,
-0.377868652,-9.53E-06,
-0.380126953,-9.58E-06,
-0.382354736,-9.47E-06,
-0.385040283,-9.45E-06,
-0.387481689,-9.41E-06,
-0.390136719,-9.36E-06,
-0.392364502,-9.29E-06,
-0.394958496,-9.22E-06,
-0.397186279,-9.23E-06,
-0.399810791,-9.18E-06,
-0.402038574,-9.08E-06,
-0.404602051,-9.01E-06,
-0.407073975,-8.96E-06,
-0.409362793,-9.02E-06,
-0.411834717,-8.87E-06,
-0.414245605,-8.92E-06,
-0.416748047,-8.84E-06,
-0.418884277,-8.77E-06,
-0.421569824,-8.78E-06,
-0.42364502,-8.72E-06,
-0.426574707,-8.74E-06,
-0.429016113,-8.67E-06,
-0.431243896,-8.63E-06,
-0.43359375,-8.60E-06,
-0.436187744,-8.54E-06,
-0.438659668,-8.54E-06,
-0.440979004,-8.50E-06,
-0.443450928,-8.39E-06,
-0.446014404,-8.40E-06,
-0.448394775,-8.38E-06,
-0.450836182,-8.35E-06,
-0.453155518,-8.36E-06,
-0.455841064,-8.36E-06,
-0.458343506,-8.29E-06,
-0.460632324,-8.29E-06,
-0.463104248,-8.26E-06,
-0.465484619,-8.20E-06,
-0.468017578,-8.22E-06,
-0.470733643,-8.15E-06,
-0.472686768,-8.19E-06,
-0.475128174,-8.07E-06,
-0.477752686,-8.10E-06,
-0.480133057,-8.06E-06,
-0.482696533,-8.05E-06,
-0.484954834,-7.99E-06,
-0.487487793,-7.97E-06,
-0.489868164,-8.02E-06,
-0.49230957,-7.93E-06,
-0.494628906,-7.86E-06,
-0.497283936,-7.84E-06,
-0.500061035,-7.83E-06,
-0.50201416,-7.77E-06,
-0.504394531,-7.78E-06,
-0.507019043,-7.72E-06,
-0.509399414,-7.73E-06,
-0.511749268,-7.74E-06,
-0.514068604,-7.59E-06,
-0.516693115,-7.64E-06,
-0.518951416,-7.57E-06,
-0.52154541,-7.55E-06,
-0.524108887,-7.35E-06,
-0.526367188,-7.52E-06,
-0.52911377,-7.59E-06,
-0.531341553,-7.52E-06,
-0.533691406,-7.36E-06,
-0.536193848,-7.65E-06,
-0.538513184,-7.37E-06,
-0.541015625,-7.27E-06,
-0.543518066,-7.43E-06,
-0.546112061,-7.32E-06,
-0.548187256,-7.34E-06,
-0.550872803,-7.35E-06,
-0.553070068,-7.28E-06,
-0.55569458,-7.17E-06,
-0.558135986,-7.22E-06,
-0.560638428,-7.15E-06,
-0.563018799,-7.23E-06,
-0.565551758,-7.19E-06,
-0.567962646,-7.25E-06,
-0.57043457,-7.22E-06,
-0.572540283,-7.09E-06,
-0.575073242,-7.11E-06,
-0.577667236,-7.10E-06,
-0.580078125,-7.30E-06,
-0.582611084,-7.24E-06,
-0.585174561,-7.23E-06,
-0.587341309,-7.06E-06,
-0.58972168,-6.98E-06,
-0.592437744,-7.01E-06,
-0.594848633,-7.19E-06,
-0.597351074,-6.91E-06,
-0.59954834,-7.13E-06,
-0.601898193,-6.98E-06,
-0.604644775,-6.93E-06,
-0.607055664,-7.21E-06,
-0.609405518,-7.10E-06,
-0.606964111,-6.29E-06,
-0.604522705,-5.93E-06,
-0.601959229,-6.12E-06,
-0.599609375,-5.85E-06,
-0.597015381,-5.76E-06,
-0.595245361,-5.69E-06,
-0.592498779,-5.59E-06,
-0.590026855,-5.54E-06,
-0.587524414,-5.63E-06,
-0.58505249,-5.36E-06,
-0.582733154,-5.37E-06,
-0.580108643,-5.25E-06,
-0.577728271,-5.11E-06,
-0.575439453,-5.17E-06,
-0.572753906,-5.24E-06,
-0.570343018,-5.13E-06,
-0.568023682,-5.00E-06,
-0.565551758,-5.08E-06,
-0.563018799,-4.94E-06,
-0.560668945,-4.97E-06,
-0.557983398,-4.92E-06,
-0.55581665,-4.98E-06,
-0.553283691,-4.90E-06,
-0.550933838,-4.88E-06,
-0.548339844,-4.64E-06,
-0.54598999,-4.76E-06,
-0.543548584,-4.73E-06,
-0.54107666,-4.79E-06,
-0.538696289,-4.75E-06,
-0.536224365,-4.57E-06,
-0.533691406,-4.55E-06,
-0.531311035,-4.55E-06,
-0.528869629,-4.63E-06,
-0.526428223,-4.49E-06,
-0.524047852,-4.51E-06,
-0.521362305,-4.58E-06,
-0.518890381,-4.45E-06,
-0.51651001,-4.44E-06,
-0.514251709,-4.53E-06,
-0.511566162,-4.46E-06,
-0.509368896,-4.31E-06,
-0.506652832,-4.35E-06,
-0.504180908,-4.31E-06,
-0.501800537,-4.36E-06,
-0.499664307,-4.26E-06,
-0.497192383,-4.28E-06,
-0.494659424,-4.10E-06,
-0.49206543,-4.15E-06,
-0.489868164,-4.26E-06,
-0.48739624,-4.07E-06,
-0.484680176,-4.08E-06,
-0.48248291,-4.13E-06,
-0.480194092,-4.06E-06,
-0.477478027,-4.02E-06,
-0.475280762,-3.97E-06,
-0.472808838,-4.01E-06,
-0.470367432,-4.08E-06,
-0.468048096,-3.94E-06,
-0.465545654,-3.99E-06,
-0.463104248,-3.94E-06,
-0.460357666,-3.92E-06,
-0.458190918,-3.92E-06,
-0.455718994,-3.76E-06,
-0.453369141,-3.86E-06,
-0.450592041,-3.81E-06,
-0.448455811,-3.79E-06,
-0.445983887,-3.84E-06,
-0.443481445,-3.71E-06,
-0.440979004,-3.72E-06,
-0.43862915,-3.63E-06,
-0.436157227,-3.74E-06,
-0.433624268,-3.71E-06,
-0.431396484,-3.78E-06,
-0.428985596,-3.69E-06,
-0.426361084,-3.65E-06,
-0.424194336,-3.65E-06,
-0.421691895,-3.58E-06,
-0.419281006,-3.56E-06,
-0.416717529,-3.57E-06,
-0.414276123,-3.58E-06,
-0.411712646,-3.57E-06,
-0.409362793,-3.49E-06,
-0.406890869,-3.48E-06,
-0.404418945,-3.50E-06,
-0.402130127,-3.41E-06,
-0.399780273,-3.44E-06,
-0.397247314,-3.48E-06,
-0.394805908,-3.44E-06,
-0.392303467,-3.40E-06,
-0.389801025,-3.44E-06,
-0.387420654,-3.41E-06,
-0.385192871,-3.39E-06,
-0.38269043,-3.37E-06,
-0.380157471,-3.33E-06,
-0.377593994,-3.29E-06,
-0.375488281,-3.44E-06,
-0.372589111,-3.30E-06,
-0.370513916,-3.33E-06,
-0.367950439,-3.21E-06,
-0.365386963,-3.25E-06,
-0.362976074,-3.28E-06,
-0.360656738,-3.24E-06,
-0.358184814,-3.14E-06,
-0.355773926,-3.12E-06,
-0.35333252,-3.14E-06,
-0.350952148,-3.11E-06,
-0.348327637,-3.05E-06,
-0.346099854,-3.04E-06,
-0.343688965,-3.06E-06,
-0.341094971,-3.03E-06,
-0.338653564,-2.90E-06,
-0.336212158,-2.97E-06,
-0.333740234,-2.94E-06,
-0.331329346,-2.86E-06,
-0.329071045,-2.83E-06,
-0.326324463,-2.84E-06,
-0.32421875,-2.88E-06,
-0.321685791,-2.84E-06,
-0.319030762,-2.69E-06,
-0.316802979,-2.74E-06,
-0.31427002,-2.68E-06,
-0.311950684,-2.67E-06,
-0.309356689,-2.72E-06,
-0.30682373,-2.60E-06,
-0.304504395,-2.57E-06,
-0.302215576,-2.48E-06,
-0.299743652,-2.47E-06,
-0.297210693,-2.35E-06,
-0.294555664,-2.34E-06,
-0.292572021,-2.31E-06,
-0.289703369,-2.18E-06,
-0.286956787,-2.18E-06,
-0.285003662,-2.10E-06,
-0.282653809,-1.95E-06,
-0.280090332,-1.92E-06,
-0.277832031,-1.84E-06,
-0.27545166,-1.70E-06,
-0.272918701,-1.68E-06,
-0.270355225,-1.60E-06,
-0.268035889,-1.57E-06,
-0.265716553,-1.37E-06,
-0.263275146,-1.28E-06,
-0.260620117,-1.10E-06,
-0.258209229,-9.46E-07,
-0.255889893,-8.76E-07,
-0.253265381,-7.47E-07,
-0.250946045,-5.84E-07,
-0.248596191,-3.77E-07,
-0.245849609,5.68E-08,
-0.243438721,3.38E-08,
-0.240936279,2.90E-07,
-0.238525391,4.86E-07,
-0.23651123,6.68E-07,
-0.233886719,9.48E-07,
-0.231323242,1.24E-06,
-0.229064941,1.53E-06,
-0.226501465,1.86E-06,
-0.224090576,2.16E-06,
-0.221710205,2.54E-06,
-0.219360352,2.85E-06,
-0.216644287,3.25E-06,
-0.214355469,3.60E-06,
-0.211761475,4.07E-06,
-0.209381104,4.50E-06,
-0.206695557,4.82E-06,
-0.204742432,5.30E-06,
-0.202026367,5.79E-06,
-0.199432373,6.12E-06,
-0.197265625,6.63E-06,
-0.194702148,7.08E-06,
-0.192260742,7.44E-06,
-0.189971924,8.07E-06,
-0.187469482,8.50E-06,
-0.184814453,8.96E-06,
-0.182647705,9.49E-06,
-0.180267334,9.81E-06,
-0.177520752,1.02E-05,
-0.175384521,1.05E-05,
-0.172912598,1.10E-05,
-0.170410156,1.13E-05,
-0.168182373,1.16E-05,
-0.165527344,1.19E-05,
-0.163146973,1.23E-05,
-0.160583496,1.24E-05,
-0.158508301,1.26E-05,
-0.155944824,1.28E-05,
-0.153289795,1.29E-05,
-0.150848389,1.30E-05,
-0.1484375,1.31E-05,
-0.146118164,1.31E-05,
-0.14352417,1.32E-05,
-0.141204834,1.30E-05,
-0.138427734,1.31E-05,
-0.136199951,1.29E-05,
-0.133789063,1.29E-05,
-0.131439209,1.28E-05,
-0.128875732,1.26E-05,
-0.126434326,1.24E-05,
-0.123931885,1.23E-05,
-0.121704102,1.21E-05,
-0.119171143,1.19E-05,
-0.116668701,1.18E-05,
-0.114318848,1.16E-05,
-0.111755371,1.15E-05,
-0.109466553,1.13E-05,
-0.107147217,1.11E-05,
-0.10446167,1.09E-05,
-0.102203369,1.07E-05,
-0.099822998,1.05E-05,
-0.097167969,1.02E-05,
-0.094787598,1.01E-05,
-0.092590332,9.87E-06,
-0.089874268,9.70E-06,
-0.087738037,9.61E-06,
-0.085144043,9.45E-06,
-0.082733154,9.26E-06,
-0.080047607,9.19E-06,
-0.077789307,8.98E-06,
-0.075378418,8.80E-06,
-0.072875977,8.72E-06,
-0.070526123,8.66E-06,
-0.068023682,8.45E-06,
-0.065460205,8.31E-06,
-0.063171387,8.25E-06,
-0.060577393,8.07E-06,
-0.058135986,7.94E-06,
-0.055603027,7.98E-06,
-0.053192139,7.81E-06,
-0.050354004,7.69E-06,
-0.04833374,7.55E-06,
-0.045901489,7.48E-06,
-0.043496704,7.51E-06,
-0.0409729,7.40E-06,
-0.038729858,7.24E-06,
-0.036221313,7.21E-06,
-0.033755493,7.08E-06,
-0.031317139,7.05E-06,
-0.029156494,6.97E-06,
-0.02651062,6.93E-06,
-0.024127197,6.87E-06,
-0.021603394,6.85E-06,
-0.019229126,6.77E-06,
-0.016763306,6.70E-06,
-0.014334106,6.64E-06,
-0.011828613,6.67E-06,
-0.00960083,6.62E-06,
-0.006869507,6.44E-06,
-0.00446167,6.52E-06,
-0.002124023,6.39E-06,
0.000256348,6.46E-06,
0.002835083,6.33E-06,
0.005282593,6.29E-06,
0.007577515,6.32E-06,
0.010144043,6.25E-06,
0.012460327,6.16E-06,
0.015130615,6.20E-06,
0.017407227,6.18E-06,
0.019772339,6.11E-06,
0.02225647,6.09E-06,
0.024707031,6.01E-06,
0.027081299,6.07E-06,
0.02963562,5.99E-06,
0.031939697,5.95E-06,
0.034402466,5.98E-06,
0.036962891,5.92E-06,
0.039242554,5.92E-06,
0.041751099,5.95E-06,
0.044119263,5.89E-06,
0.046517944,5.84E-06,
0.049041748,5.86E-06,
0.051422119,5.83E-06,
0.053863525,5.80E-06,
0.056427002,5.82E-06,
0.058929443,5.77E-06,
0.061157227,5.68E-06,
0.063659668,5.72E-06,
0.066223145,5.71E-06,
0.068664551,5.70E-06,
0.070800781,5.63E-06,
0.073364258,5.59E-06,
0.075836182,5.60E-06,
0.078491211,5.64E-06,
0.080780029,5.60E-06,
0.083465576,5.63E-06,
0.085571289,5.59E-06,
0.087982178,5.54E-06,
0.090606689,5.54E-06,
0.093078613,5.46E-06,
0.095611572,5.49E-06,
0.097839355,5.50E-06,
0.100341797,5.59E-06,
0.097808838,3.97E-06,
0.095428467,3.72E-06,
